seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12837,2024,ENG.W.1,19970,119954,14,7,5,2,0,0,0,0,0,1,3,1,0,0,4,2025-03-17 04:45:45
12837,2024,ENG.W.1,19972,134349,3,0,2,0,1,0,1,0,0,1,1,1,0,0,5,2025-03-17 04:45:45
12837,2024,ENG.W.1,20061,134423,12,11,5,4,1,0,0,1,0,1,2,0,0,0,1,2025-03-17 04:45:47
12837,2024,ENG.W.1,21037,140056,12,1,4,6,0,0,0,0,0,1,1,0,0,0,29,2025-03-17 04:45:45
12837,2024,ENG.W.1,19973,158678,15,4,18,12,1,0,0,2,0,8,23,2,0,0,5,2025-03-17 04:45:44
12837,2024,ENG.W.1,19973,176041,14,3,5,9,1,0,0,3,0,0,3,0,0,0,10,2025-03-17 04:45:44
12837,2024,ENG.W.1,20707,178854,15,0,4,1,2,0,0,0,0,7,21,0,0,0,28,2025-03-17 04:45:44
12837,2024,ENG.W.1,19973,188004,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:45:44
12837,2024,ENG.W.1,19975,188069,15,0,29,33,5,0,0,5,0,9,21,5,0,0,27,2025-03-17 04:45:47
12837,2024,ENG.W.1,19971,188447,14,2,8,2,2,0,0,1,0,4,10,0,0,0,18,2025-03-17 04:45:46
12837,2024,ENG.W.1,19970,188448,14,1,12,13,0,0,0,2,0,3,17,1,0,0,9,2025-03-17 04:45:45
12837,2024,ENG.W.1,19257,204659,9,0,7,4,2,0,0,0,0,1,4,0,0,0,6,2025-03-17 04:45:46
12837,2024,ENG.W.1,20061,208938,16,0,1,2,1,0,0,0,0,0,0,0,0,43,9,2025-03-17 04:45:47
12837,2024,ENG.W.1,19972,209174,16,0,0,5,2,0,0,0,0,0,0,0,0,77,25,2025-03-17 04:45:45
12837,2024,ENG.W.1,20707,209364,15,0,0,3,1,0,0,0,0,1,1,0,0,36,28,2025-03-17 04:45:44
12837,2024,ENG.W.1,19970,209937,5,0,1,5,1,0,0,1,0,0,3,0,0,0,3,2025-03-17 04:45:45
12837,2024,ENG.W.1,21036,210382,16,0,9,9,1,0,1,2,0,2,8,0,0,0,24,2025-03-17 04:45:46
12837,2024,ENG.W.1,19972,211151,16,5,9,5,0,0,0,3,0,4,13,1,0,0,14,2025-03-17 04:45:45
12837,2024,ENG.W.1,19972,211994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:45:45
12837,2024,ENG.W.1,19976,213937,15,0,7,3,1,0,0,0,0,1,3,0,0,0,27,2025-03-17 04:45:44
12837,2024,ENG.W.1,19971,219050,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-03-17 04:45:46
12837,2024,ENG.W.1,19973,219079,15,0,20,8,4,1,0,4,0,9,14,1,0,0,9,2025-03-17 04:45:44
12837,2024,ENG.W.1,20707,219119,10,6,2,4,0,0,0,1,0,1,6,1,0,0,7,2025-01-31 14:47:06
12837,2024,ENG.W.1,20707,219769,11,7,5,5,0,0,0,0,0,9,13,3,0,0,11,2025-02-28 05:50:48
12837,2024,ENG.W.1,19976,219773,10,1,1,4,1,0,0,2,0,10,13,3,0,0,12,2025-03-17 04:45:44
12837,2024,ENG.W.1,20062,219818,11,1,16,14,2,0,0,0,0,8,20,1,0,0,15,2025-03-17 04:45:47
12837,2024,ENG.W.1,19257,219819,7,3,2,2,1,0,0,0,0,1,1,0,0,0,5,2025-01-24 16:56:15
12837,2024,ENG.W.1,19973,219822,13,1,4,6,1,0,0,0,0,0,4,0,0,0,9,2025-03-17 04:45:44
12837,2024,ENG.W.1,19975,219825,16,1,19,24,3,0,0,2,0,6,22,3,0,0,25,2025-03-17 04:45:47
12837,2024,ENG.W.1,20062,219859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-16 05:43:24
12837,2024,ENG.W.1,19976,219939,13,5,3,6,0,0,0,0,0,2,10,1,0,0,7,2025-03-17 04:45:44
12837,2024,ENG.W.1,19257,219945,9,2,3,8,0,0,0,1,0,15,36,6,0,0,12,2025-03-17 04:45:46
12837,2024,ENG.W.1,20061,219947,16,0,18,7,2,0,0,2,0,2,14,1,0,0,9,2025-03-17 04:45:47
12837,2024,ENG.W.1,19257,219951,15,2,8,6,0,0,0,3,0,13,40,4,0,0,16,2025-03-17 04:45:46
12837,2024,ENG.W.1,21036,219962,13,1,11,13,3,0,0,0,0,1,5,0,0,0,18,2025-03-17 04:45:46
12837,2024,ENG.W.1,19976,219987,9,0,5,1,1,0,0,0,0,0,4,0,0,0,13,2025-03-17 04:45:44
12837,2024,ENG.W.1,19976,219990,15,0,16,13,2,0,0,0,0,4,12,1,0,0,24,2025-03-17 04:45:44
12837,2024,ENG.W.1,19973,220015,13,4,9,12,0,0,0,0,0,3,9,0,0,0,7,2025-03-17 04:45:44
12837,2024,ENG.W.1,20707,220024,12,2,15,10,3,0,0,1,0,0,4,0,0,0,19,2025-03-17 04:45:44
12837,2024,ENG.W.1,19257,223470,10,0,0,5,0,0,0,0,0,0,0,0,0,25,10,2025-03-17 04:45:46
12837,2024,ENG.W.1,21037,224886,12,0,0,3,0,0,0,0,0,0,0,0,0,52,32,2025-03-17 04:45:45
12837,2024,ENG.W.1,20062,226804,15,6,2,6,1,0,0,1,0,9,16,0,0,0,21,2025-03-17 04:45:47
12837,2024,ENG.W.1,19257,229456,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-17 04:45:46
12837,2024,ENG.W.1,19971,230835,9,0,0,1,2,0,0,0,0,0,0,0,0,23,12,2025-03-17 04:45:46
12837,2024,ENG.W.1,20062,230836,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2,2025-03-17 04:45:47
12837,2024,ENG.W.1,19975,235712,15,2,7,1,1,0,0,0,0,1,6,0,0,0,23,2025-03-17 04:45:47
